id,content
1117566705994067968,भारतीय जनता का बोझ !!!
1117564282239979521,स्पष्ट रहें कि सत्ता में कौन नहीं आना चाहिए !!!सोच
1117554723626700800,चुनाव खर्च के लिए 150 करोड़ रुपये के अनुदान के लिए 8000 करोड़
1117530472165314561,"वोट जो भी हो, लेकिन भाजपा खाते में जाती है: कांग्रेस ने किसी भी आतंकवादी और कांग्रेस को मेरी सूजन को क्यों गोली मार दी: बीजेपी"
1117524498708721664,"जब मछुआरे ने श्रीलंका को गोली मार दी, जब मछुआरों पर हमला किया जाता है, तो ओगी;गाजा तूफान, थूथुकुडी फायरिंग और बहुत कुछ।काकावा।"
1117520454464368641,सेंट्रल चेन्नई विजेता उम्मीदवार श्रीस्वागत!⁠
1117520076360445952,चुनाव फ्लाइंग फोर्स के अधिकारियों ने चेन्नई में विधान हॉस्टल पर छापा मारा।
1117511147597381633,सामग्रियों के रूप में सरकार के चुनाव खर्चों का 2/2।
1117510893183488000,2/2 और शांति शुरू करना और एक लंबी पूंजी लाभ वापस लाना
1117510550055833601,"एक वैकल्पिक नीति जो चुनावी घोषणापत्र को लागू करने के लिए प्रतिबद्ध है, वह है 10. निजी क्षेत्र की नौकरियों और अनुसूचित जातियों और अनुसूचित जनजातियों के लिए निजी संस्थानों में सीखने के लिए आरक्षण।"
1117510449610809344,वह युवक जो कहता है कि 'मैं लाभार्थी' गाँव छोड़ दिया
1117509702366060544,"एक वैकल्पिक नीति जो चुनावी घोषणापत्र के कार्यान्वयन के लिए प्रतिबद्ध है, वह है 9. सार्वजनिक आंदोलन उद्योग के निजीकरण को रोकें और संरक्षण, ईंधन, रेलवे और अन्य बुनियादी सेवाओं के निजीकरण को बहाल करें।"
1117509550544801792,एक वैकल्पिक नीति जो चुनावी घोषणापत्र को लागू करने के लिए प्रतिबद्ध है। 8. एक बुजुर्ग वेतन सभी वरिष्ठ नागरिकों या रु।
1117509430914863104,एक वैकल्पिक नीति जो चुनावी घोषणापत्र के कार्यान्वयन के लिए प्रतिबद्ध है। 7. रोजगार का अधिकार एक संवैधानिक दावा है;उन लोगों को बेरोजगारी भत्ता प्रदान करना जो काम नहीं करते हैं।
1117509228384538626,शिक्षा प्रणाली को मुक्त करने और इसकी लोकतांत्रिक प्रकृति सुनिश्चित करने के लिए सांप्रदायिकता का 2/2।
1117508894312423424,एक वैकल्पिक नीति जो चुनावी घोषणापत्र को लागू करने के लिए प्रतिबद्ध है।औरत;बच्चों के अत्याचारों को धता बताने के लिए व्यापक उपायों को एकीकृत करें
1117508519756877824,एक वैकल्पिक नीति जो चुनावी घोषणापत्र पर प्रकाश डालने के लिए प्रतिबद्ध है। 5. मुक्त स्वास्थ्य देखभाल का अधिकार;निजी बीमा कंपनियों के नियंत्रण में स्वास्थ्य देखभाल योजना को समाप्त करना;जीडीपी के 5 % तक स्वास्थ्य पर सार्वजनिक लागत बढ़ रही है।
1117508246065967104,एक वैकल्पिक नीति जो चुनावी घोषणापत्र को लागू करने के लिए प्रतिबद्ध है। सार्वजनिक वितरण प्रणाली प्रति व्यक्ति अधिकतम 2 रुपये प्रति किलो या 7 किलोग्राम अनाज प्रति व्यक्ति 35 किलो प्रति परिवार की आपूर्ति करने के लिए है।
1117507557227028480,एक वैकल्पिक नीति जो सीपीआई (एम) चुनाव घोषणापत्र हाइलाइट्स को लागू करने के लिए प्रतिबद्ध है।
1117506573188784128,एक वैकल्पिक नीति जो सीपीआई (एम) चुनाव घोषणापत्र पर प्रकाश डालने के लिए प्रतिबद्ध है।
1117506456834723841,हमें विश्वास है कि भाग्य मराठी ...
1117506378464022528,"एक वैकल्पिक नीति जो सीपीआई (एम) चुनाव घोषणापत्र की सुर्खियों को लागू करने के लिए प्रतिबद्ध है, एक धर्मनिरपेक्ष सिद्धांत और भारत के संविधान में लोकतांत्रिक अधिकारों की सुरक्षा है।"
1117505327807623168,चुनाव से पहले इस ट्वीट को समर्पित किया
1117498968718675968,कुवैत तमिल इस्लामिक एसोसिएशन (K TIC) तमिलनाडु राज्य जमातुल उलमा सभा के अनुरोध पर DMK -KELD SECULAR PROGESIVE ALLIANCE का पूरी तरह से समर्थन करता है
1117496711826423808,"CPIM उम्मीदवार S.Varalakshmi को चिककाबलापुर लोकसभा क्षेत्र के पेरियाबलापुर में बाइक रैली और रोड शो द्वारा वोट दिया गया था।सुभाषिनी अली, पार्टी के सदस्य, चंद्रथजस्वी, मीनाक्षी सुंदरम और कां उमेश पार्टी के राजनीतिक ब्यूरो के सदस्य थे।"
1117496399413772288,यह पृथ्वीराज चव्हाण जैसे आदमी से उम्मीद नहीं है!हम समझ सकते थे कि क्या बांध भर गया था।
1117493897964544005,सुमालाथा अंबरीशक्या शब्द है !!
1117492846540443649,"ब्रिंडा करात (), पार्टी के राजनीतिक ब्यूरो के सदस्य, बाइक रैली में भाग लेंगे और कल (1 अप्रैल) को चिककाबालपुर लोकसभा क्षेत्र में बगपल्ली में ओपन मीटिंग में भाग लेंगे।S.varalakshmi के लिए आपका वोट"
1117491963396182017,"CPIM के लिए सेवा और सामाजिक सुरक्षा के लिए आंगनवाड़ी, भूटा, आशा, ग्राम पंचायत, निजी और सरकारी क्षेत्र के अनुबंध श्रमिकों के लिए आपका वोट"
1117491109624565761,"यह भी एक गवाह है कि DMK एक उपद्रवी पार्टी है।जब शासन सत्ता में नहीं है, तो यह मामला नहीं है?"
1117489885684875264,"श्रीमती जूली, कैंसर की पत्नी, जो थूथुकुडी में स्टरलाइट विषाक्त लहर के कारण कैंसर से मर गईं ..."
1117489636291465217,कमल खिलना!विकास को हल्का करें!कमल की पहचान के लिए वोट करें!गर्वित नेता श्री नरेंद्र मोदीजी को फिर से प्रधानमंत्री बनाने दें।
1117488838744653825,लोकसभा चुनाव 2019: मुंबई शहर के जिले के तादकाद इलाके में कल रात 50 लाख रुपये की संदिग्ध राशि को गिरफ्तार किया गया था।
1117487689173835776,"ड्राइव के लिए ड्राइव से पहले सोचें .. पानी पिएं ... सांस लें हवा ... क्या रास्ता है ... चित्र: विवेकानंद कॉलेज, कन्याकुमारी"
1117487685571162119,कैप्टन टीएमसी नेता विजयकांत
1117486884316307457,आपके लिए परीक्षा!मत भूलना!
1117486077273444352,"भाजपा नेता को जवाब देने के चक्र में, कांग्रेस के सूरत शहर के अध्यक्ष बाबू राईक को भूल गए, यह कहते हुए कि _______________।"
1117486031102672897,"तमिलनाडु में, कन्मोज़ी करुनिधि सांसद के फंडों को परियोजना के लिए सराहा गया है।"
1117485762977525761,"यदि आप अधिक करते हैं, तो हम दिल्ली में मिलेंगे - तो आपका घर आपको वोट नहीं देगा"
1117485631846920192,... तो 'वे' कांग्रेस को नहीं छोड़ेंगे: थोरैट & lt;समाचार
1117485592047235074,"महोदय, हिंदी में एक मजबूत भाषण दें।भाजपा कैसे पसीने से तर दिखती है?"
1117485120783409153,"जिन लोगों को विश्वास है, वे समुद्र तट के आधार से बोलने में आश्वस्त हैं, वे बोलने में आश्वस्त हैं, राज ठाकरे।"
1117484717211881474,माथाडी के कार्यकर्ता दो बार वोट करते हैं: मांडा मट्रे और लेफ्टिनेंट;समाचार
1117481561027301376,... इसलिए कार्यकर्ताओं ने गिरीश महाजन बम और मरहम भेजा
1117479626790461440,तमिलनाडु में कनिमोजी सांसद फंड का भाग 2
1117479167011053571,वोट हम तमिल पार्टी हैं
1117478627795296256,महाराष्ट्र की माढा लोकसभा सीट पर किसकी होगी जीत?
